STATION_NAME,DATE,TMAX,TMIN,PRCP
PETERSBURG,20100101,-178,-311,0
PETERSBURG,20100102,-244,-322,0
PETERSBURG,20100103,-194,-289,0
PETERSBURG,20100104,-167,-200,15
PETERSBURG,20100105,-133,-167,9999
PETERSBURG,20100106,-133,-172,9999
PETERSBURG,20100107,-150,-278,0
PETERSBURG,20100108,-233,-328,0
PETERSBURG,20100109,-233,-322,0
PETERSBURG,20100110,-117,-244,0
PETERSBURG,20100111,-67,-128,0
PETERSBURG,20100112,-78,-122,0
PETERSBURG,20100113,-17,-89,0
PETERSBURG,20100114,39,-72,0
PETERSBURG,20100115,-67,-72,0
PETERSBURG,20100116,22,-50,0
PETERSBURG,20100117,33,-44,0
PETERSBURG,20100118,6,-172,0
PETERSBURG,20100119,-56,-183,0
PETERSBURG,20100120,-67,-139,0
PETERSBURG,20100121,-67,-94,25
PETERSBURG,20100122,-44,-67,0
PETERSBURG,20100123,-6,-44,0
PETERSBURG,20100124,0,-11,0
PETERSBURG,20100125,-11,-161,0
PETERSBURG,20100126,-161,-233,0
PETERSBURG,20100127,-167,-222,0
PETERSBURG,20100128,-167,-283,0
PETERSBURG,20100129,-189,-283,0
PETERSBURG,20100130,-156,-267,0
PETERSBURG,20100131,-150,-272,0
SEATTLE,20120101,12.8,5,0
SEATTLE,20120102,10.6,2.8,10.9
SEATTLE,20120103,11.7,7.2,0.8
SEATTLE,20120104,12.2,5.6,20.3
SEATTLE,20120105,8.9,2.8,1.3
SEATTLE,20120106,4.4,2.2,2.5
SEATTLE,20120107,7.2,2.8,0
SEATTLE,20120108,10,2.8,0
SEATTLE,20120109,9.4,5,4.3
SEATTLE,20120110,6.1,0.6,1
SEATTLE,20120111,6.1,-1.1,0
SEATTLE,20120112,6.1,-1.7,0
SEATTLE,20120113,5,-2.8,0
SEATTLE,20120114,4.4,0.6,4.1
SEATTLE,20120115,1.1,-3.3,5.3
SEATTLE,20120116,1.7,-2.8,2.5
SEATTLE,20120117,3.3,0,8.1
SEATTLE,20120118,0,-2.8,19.8
SEATTLE,20120119,-1.1,-2.8,15.2
SEATTLE,20120120,7.2,-1.1,13.5
SEATTLE,20120121,8.3,3.3,3
SEATTLE,20120122,6.7,2.2,6.1
SEATTLE,20120123,8.3,1.1,0
SEATTLE,20120124,10,2.2,8.6
SEATTLE,20120125,8.9,4.4,8.1
SEATTLE,20120126,8.9,1.1,4.8
SEATTLE,20120127,6.7,-2.2,0
SEATTLE,20120128,6.7,0.6,0
SEATTLE,20120129,9.4,3.9,27.7
SEATTLE,20120130,8.3,6.1,3.6
SEATTLE,20120131,9.4,6.1,1.8
LONDON,19790101,2.3,-7.5,0.4
LONDON,19790102,1.6,-7.5,0
LONDON,19790103,1.3,-7.2,0
LONDON,19790104,-0.3,-6.5,0
LONDON,19790105,5.6,-1.4,0
LONDON,19790106,8.3,-6.6,0.7
LONDON,19790107,8.5,-5.3,5.2
LONDON,19790108,5.8,5.3,0.8
LONDON,19790109,5.2,1.6,7.2
LONDON,19790110,4.9,1.4,2.1
LONDON,19790111,2.9,0.3,2.3
LONDON,19790112,2,-2,0
LONDON,19790113,4.3,-7.1,0
LONDON,19790114,6.7,-5.6,0.8
LONDON,19790115,5.9,1,0.1
LONDON,19790116,2.6,4.1,3.9
LONDON,19790117,1.9,1.6,2.5
LONDON,19790118,3,-0.2,0.2
LONDON,19790119,7.2,-1.4,5.2
LONDON,19790120,3.5,-1,0
LONDON,19790121,1.5,-3.5,0.1
LONDON,19790122,0.3,-1.8,6.2
LONDON,19790123,2.9,-2.3,1
LONDON,19790124,5.6,-5.6,1.4
LONDON,19790125,2.8,-4.5,5.3
LONDON,19790126,1.6,-1.1,0.1
LONDON,19790127,4.5,-5.2,0
LONDON,19790128,4.8,-4.4,7.5
LONDON,19790129,4,-1,4.4
LONDON,19790130,7.3,-2.6,0.1
LONDON,19790131,9.1,-3.1,2.4
